,S_U,S_L,R_L,R_U
0,5480.495685794378,-0.0,3076.4764583144333,3021.839944040001
1,4321.457152044812,-0.0,3076.4764583144333,2509.1530007164283
2,-0.0,-0.0,3076.4764583144333,1650.7537945064335
3,-1.8189894035458565e-12,-0.0,3516.2092246719885,2551.2877423551886
4,10490.002814571899,0.0,13629.396929155197,12495.899807999996
5,4451.898226839999,-0.0,33871.021441035904,33345.5986062519
6,-0.0,-0.0,3699.2955855096984,3589.6886929080983
7,9172.944400401278,-0.0,3082.653323105601,3021.839944040001
8,10490.002814571899,449.00012047119,13069.225464820478,13007.995555761278
9,10490.002814571899,449.00012047119,3872.0341822834107,3344.3693973066206
10,10490.002814571899,-0.0,2920.7083151232,2787.180700032
11,2771.3193522119,-0.0,3164.9926168568095,3494.6866463039996
12,9.094947017729282e-13,-9.094947017729282e-13,4065.961629425601,3021.839944040001
13,-0.0,-0.0,7626.578382309699,6945.7303556280995
14,-0.0,-0.0,16839.415076975998,15006.980626559998
15,-0.0,-0.0,24478.575159599997,22314.106799999998
16,-0.0,-0.0,25895.372180688,24866.84061792
17,8487.861502927997,0.0,32514.7478304096,32173.96679136
18,1697.444883447999,-0.0,27136.147333539197,27017.495789647997
19,-0.0,449.00012047119,3097.7674114448014,3021.8399440400012
20,10490.002814571899,449.00012047119,3537.9608977655907,3021.839944040001
21,10490.002814571899,-0.0,13008.224147307898,12907.661905995898
22,10490.002814571899,449.00012047119,1983.6540507224106,2302.2207789120007
23,10490.002814571899,261.01201037282067,2799.00284007759,2168.9311809600003
24,9319.348723479998,204.32613317516757,3076.476458314434,2779.445143008003
25,-0.0,2.2737367544323206e-13,3507.2374603920453,3265.9853835960985
26,-0.0,-0.0,3076.4764583144333,3021.839944040001
27,-0.0,-0.0,26964.366657119997,26580.564020159996
28,10490.0028145719,449.00012047119,21279.8033216064,20802.69796608
29,4189.253945534376,449.00012047119,31862.79212069109,31048.7332129719
30,-0.0,-0.0,4594.723694981676,4487.377965202476
31,9345.090296327679,-0.0,3076.4764583144333,3474.8979367056236
32,10490.002814571899,449.00012047119,12801.039653226879,12736.239487079678
33,10490.002814571899,163.0679575920236,3872.0341822834107,3339.430541668221
34,9384.030522035899,-0.0,3076.4764583144333,3250.719078624
35,8396.4717562519,-0.0,3136.002449331177,3021.839944040001
36,7589.210973411902,-0.0,4152.361850955201,3021.839944040001
37,4931.3669332919035,-4.547473508864641e-13,3639.494420264001,3021.8399440400012
38,-0.0,-0.0,4850.1685988048,3021.839944040001
39,10490.002814571899,449.0001204711898,12356.769955360895,10408.837688148094
40,4534.731174260589,-0.0,32386.072801222283,30679.806647211895
41,-0.0,-0.0,6110.550409783899,5921.783605768689
42,9098.711691193068,-0.0,3872.0341822834107,3688.760985099411
43,9425.00455081408,-0.0,15339.580585301866,15257.405167993067
44,10490.002814571899,449.00012047119,3872.0341822834107,3800.1530062450106
45,10490.002814571899,381.2388144991528,3872.0341822834107,3325.566043309821
46,10490.002814571899,449.00012047119,2501.9907374007653,2445.6261052800023
47,10490.002814571899,449.00012047119,3076.4764583144333,2877.032170079996
48,9412.592578739901,-2.8421709430404007e-13,3195.380093759999,2870.486698751999
49,-0.0,-0.0,3310.633450804011,3021.8399440400012
50,-0.0,-0.0,11904.103399442498,10170.267548940099
51,-0.0,-0.0,23342.7573713376,21284.68267296
52,10490.002814571899,449.00012047119,25868.714261097597,25069.155186239997
53,2327.7119260489108,449.00012047119,31091.97361539189,30251.375796651897
54,-0.0,-0.0,3872.0341822834107,3714.764357557011
55,9339.794414980477,-0.0,3888.303389643099,4265.362829791089
56,10490.002814571899,449.00012047119,13761.260297044479,13691.342762404478
57,10490.002814571899,-0.0,3872.0341822834107,3318.5445377034207
58,10490.002814571899,-0.0,3519.2216242712097,3745.199685312
59,10490.002814571899,-0.0,5077.500621984,4654.425157056
60,1587.1840846919006,-0.0,6027.2485116768,5563.055585952
61,10027.449712599999,-0.0,3831.336234459201,3021.839944040001
62,-0.0,-0.0,19552.5123014537,18621.448757188096
63,-0.0,-0.0,3940.1695713584013,3021.8399440400012
64,-0.0,-0.0,13502.295776822397,13144.496512319998
65,-0.0,-0.0,8085.561227193599,7908.119449919999
66,8390.551197788269,-0.0,6763.673540361599,6676.380754559999
67,8910.70901728768,-0.0,12988.86381427787,12927.752913788268
68,10490.002814571899,449.00012047119,3872.0341822834107,3797.6538262834106
69,10490.002814571899,449.00012047119,3872.0341822834107,3316.818913444221
70,10490.002814571899,-0.0,2917.7926051679988,2781.2302715519986
71,10490.002814571899,-0.0,3100.0139378552094,3378.6532909439993
72,6841.412432531901,-0.0,4008.1491198431995,3683.9102719679995
73,-0.0,-0.0,3842.404031432001,3021.8399440400012
74,-0.0,-0.0,6713.842157762498,5184.403525548098
75,10028.427436399998,0.0,23723.8823154816,22986.50521824
76,4683.964937559998,-0.0,27954.747779532798,27540.538453039997
77,-0.0,-0.0,3189.046984328001,3021.8399440400012
78,9799.017619004266,-0.0,3097.172368596801,3021.839944040001
79,10189.753619063677,-0.0,16071.721305481065,16017.215380604266
80,10490.002814571899,449.00012047119,3872.0341822834107,3815.8026331474107
81,10490.002814571899,-0.0,3872.0341822834107,3346.8685772682206
82,10490.002814571899,-0.0,3508.8678787160097,3842.1916695359996
83,9100.1950835399,-0.0,3289.1588466048,3028.173053472
84,482.99692069990124,-4.547473508864641e-13,3561.781824315201,3021.8399440400012
85,-0.0,-0.0,3849.6635541776004,3021.839944040001
86,-0.0,-0.0,29615.936451114496,28989.475340740097
87,-0.0,-0.0,22817.989083686396,22349.809370879997
88,8659.305888351611,0.0,22105.246760351998,21891.626377919998
89,3453.975988202046,-0.0,25727.693453238007,25623.97748483161
90,-0.0,-0.0,3076.4764583144333,3036.0135446504332
91,9632.674504766077,-0.0,3076.4764583144333,3043.891911957953
92,10490.002814571899,449.00012047119,13646.952565943677,13600.420215230077
93,10205.881508084898,-0.0,3872.0341822834107,3362.458699885821
94,7618.252524028901,-0.0,3872.034182283409,4220.948095720999
95,2612.9644485489016,-4.547473508864641e-13,3232.901642225601,3021.839944040001
96,-0.0,-0.0,3667.163912696001,3021.8399440400012
97,-0.0,-0.0,15620.457508436699,14673.030285851099
98,-0.0,-0.0,16157.4364688832,14840.36862912
99,-0.0,-0.0,19966.841277494397,19273.437846719997
100,10490.002814571899,0.0,31062.248238441596,30757.764813119997
101,4235.1247582919,-0.0,25393.922019858295,25264.916730411896
102,259.2608098519013,10.365326383232514,3091.816982964801,3021.839944040001
103,9391.68215132608,-0.0,3076.4764583144333,3021.839944040001
104,10490.002814571899,449.00012047119,12708.319755702147,12665.190730050179
105,10466.966462555896,-0.0,3872.0341822834107,3308.3098007178205
106,10482.649938499897,-0.0,3578.3011852792097,3854.8578884
107,10490.002814571899,-0.0,3203.5660298192006,3021.839944040001
108,9775.5687160199,4.547473508864641e-13,3268.0091702576005,3021.839944040001
109,6109.127048539901,-0.0,5162.566094004801,3021.839944040001
110,-0.0,-0.0,6737.763521230399,3021.839944040001
111,10490.002814571899,449.0001204711898,19878.833799296895,18394.737432100097
112,4195.735263754988,-0.0,35428.22936162228,34172.7081649719
113,-0.0,-0.0,7656.709746027098,7772.545375903088
114,10208.288089858665,-0.0,3872.0341822834107,3748.086757045011
115,9834.394030238076,-0.0,16967.498808860262,16896.569701378663
116,10490.002814571899,449.00012047119,3872.0341822834107,3789.025704987411
117,10490.002814571899,335.5113749424233,3872.0341822834107,3289.268429581821
118,10490.002814571899,-0.0,3076.4764583144333,2950.817483232
119,9973.1229415559,-0.0,3145.1917644335767,2952.007568928
120,10490.002814571899,-0.0,4624.7068636976,3021.839944040001
121,8214.1762828679,-0.0,7235.6276783536005,5832.992677048001
122,-0.0,9.094947017729282e-13,4522.121476702401,3021.839944040001
123,-0.0,-0.0,5893.8136089337,4341.227809932099
124,10490.002814571899,-2.8421709430404007e-13,27700.1966429568,27068.49915552
125,3425.168663244921,449.00012047119,28862.1292594263,28585.2558222519
126,-0.0,-0.0,3872.0341822834107,3300.8122608330204
127,10486.203965937277,-0.0,3405.287897291889,3780.8002260350786
128,10490.002814571899,449.00012047119,14855.068060238076,14772.297600081276
129,10490.002814571899,449.00012047119,3872.0341822834107,3312.2370835146207
130,7498.405683622288,-0.0,3641.4242126207996,3492.9015177599995
131,5245.001407285949,224.500060235595,-3.979039320256561e-13,198.42757717838958
