,S_U,S_L,R_L,R_U
0,2971.3426850779497,0.0,-0.0,3021.839944040001
1,3183.390300861951,0.0,791.8235178335999,-0.0
2,-0.0,0.0,4447.562607848001,3021.839944040001
3,-0.0,0.0,4654.276075854848,3689.354593538049
4,10490.002814571899,0.0,13629.396929155198,12495.899807999998
5,4624.636823613711,0.0,33871.021441035904,33345.5986062519
6,962.1194559515216,0.0,3872.0341822834107,3762.4272896818106
7,7772.618412769877,0.0,3872.03418228341,3811.2208032178096
8,9538.676947411688,0.0,10706.780021237555,10645.550112178355
9,10490.002814571899,0.0,3872.0341822834107,3793.369517777811
10,10017.156112307901,0.0,3872.034182283411,3738.506567192211
11,6695.209763799998,0.0,3141.146035064002,3021.8399440400017
12,-0.0,0.0,8462.698743277697,7418.5770578920965
13,-0.0,0.0,3702.687970721601,3021.839944040001
14,-0.0,0.0,16839.415076975998,15006.980626559998
15,-0.0,0.0,24478.575159599997,22314.106799999998
16,-0.0,0.0,25895.372180688,24866.84061792
17,10490.002814571899,0.0,32514.7478304096,32173.96679136
18,4473.85296593051,0.0,29138.288645183096,29019.637101291897
19,3559.4814874715216,0.0,3872.0341822834107,3796.1067148786105
20,9050.62280348209,0.0,3872.0341822834107,3804.9133490290105
21,10490.002814571899,0.0,8009.362648746569,7908.800407434569
22,8321.071633611899,0.0,3872.0341822834084,3741.6007900018085
23,8563.4664346439,0.0,181.07153864639997,-0.0
24,9319.348723479998,0.0,3506.859369444802,3021.8399440400017
25,-0.0,0.0,5490.459717517697,5192.521763524097
26,-0.0,0.0,3280.8025914896007,3021.839944040001
27,-0.0,0.0,26964.366657119997,26580.564020159996
28,10490.002814571899,0.0,21279.8033216064,20802.69796608
29,3842.6963420365887,0.0,31413.7920002199,31048.7332129719
30,-0.0,0.0,4248.166091483889,4140.820361704689
31,8386.464614766677,0.0,3872.0341822834107,3821.4555402034107
32,9980.37725348209,0.0,11842.413971665877,11777.613805518677
33,10490.002814571899,0.0,3872.0341822834107,3788.4306621394107
34,6362.190577995898,0.0,3872.0341822834102,3760.3446397138105
35,5374.631812211899,0.0,277.2304628832,-0.0
36,4567.3710293719,0.0,4152.361850955201,3021.839944040001
37,1909.5269892519009,0.0,3639.4944202640004,3021.8399440400003
38,-0.0,0.0,4850.168598804801,3021.839944040001
39,10490.002814571899,0.0,15378.609899400897,13430.677632188097
40,4534.731174260589,0.0,31937.072680751095,30679.806647211895
41,-0.0,0.0,6559.550530255089,5921.783605768689
42,-0.0,0.0,3872.0341822834107,3688.760985099411
43,7673.722291432279,0.0,6240.868894108799,6158.693476799999
44,9187.72067566129,0.0,11219.463614094679,11147.582438056279
45,10490.002814571899,0.0,3872.034182283411,3774.5661637810113
46,10338.649569283898,0.0,3872.0341822834084,3747.9082441906085
47,10490.002814571899,0.0,2857.361907054399,2725.678924791999
48,9412.5925787399,0.0,3346.7333390480007,3021.839944040001
49,-0.0,0.0,3759.6335712752007,3021.839944040001
50,-0.0,0.0,11904.103399442502,10170.2675489401
51,-0.0,0.0,23342.7573713376,21284.68267296
52,10490.002814571899,0.0,25868.714261097597,25069.155186239997
53,2792.9812538797887,0.0,30642.973494920698,30251.375796651897
54,-0.0,0.0,4337.303510114289,4180.033685387889
55,8890.794294509287,0.0,3872.034182283411,3800.093501960211
56,10490.002814571899,0.0,13312.260176573287,13242.342641933286
57,10393.81525211291,0.0,3872.034182283411,3767.544658174611
58,8761.23003909691,0.0,3872.034182283411,3649.012122853011
59,6220.014397184912,0.0,3444.9154089680005,3021.839944040001
60,-0.0,0.0,3486.0328697648024,3021.8399440400026
61,10027.449712599999,0.0,6514.140567154287,5704.644276735087
62,-0.0,0.0,21139.696386145595,20208.632841879997
63,7831.4448371945655,0.0,3940.1695713584013,3021.8399440400012
64,3617.9177922843774,0.0,21333.740614016966,20975.941349514564
65,726.2784342061886,0.0,3872.0341822834107,3694.5924050098106
66,-0.0,0.0,3872.0341822834107,3784.7413964818106
67,7507.46731970108,0.0,3872.0341822834107,3810.923281793811
68,9535.76123745649,0.0,10859.34368248508,10784.96332648508
69,10490.002814571899,0.0,3872.034182283411,3765.819033915411
70,10133.189467667902,0.0,3872.0341822834084,3735.4718486674083
71,9471.119139739903,0.0,3192.2007114224025,3021.8399440400026
72,9003.976014039998,0.0,3346.078791915201,3021.839944040001
73,-0.0,0.0,7023.851287772094,6203.287200380094
74,-0.0,0.0,4551.278576254401,3021.839944040001
75,8570.578424757978,0.0,23723.8823154816,22986.50521824
76,3909.1031238733885,0.0,26496.898767890776,26082.689441397975
77,-0.0,0.0,3872.0341822834107,3704.827141995411
78,-0.0,0.0,3872.0341822834107,3796.7017577266106
79,390.7360000594108,0.0,6272.7036864768,6218.1977615999995
80,10490.002814571899,0.0,3872.0341822834107,3815.8026331474107
81,10404.16899766811,0.0,13222.051680816488,13145.886196272488
82,10397.83588823611,0.0,3872.0341822834107,3756.357852632211
83,9008.028157204113,0.0,3282.825737172801,3021.839944040001
84,390.8299943641141,0.0,3561.7818243152024,3021.8399440400026
85,-0.0,0.0,3849.663554177601,3021.839944040001
86,-0.0,0.0,29708.103377450283,29081.642267075884
87,-0.0,0.0,22817.989083686396,22349.809370879997
88,10490.002814571899,0.0,22105.246760351998,21891.626377919998
89,6080.230638391311,0.0,27558.3903794583,27454.6744110519
90,3421.812374158242,0.0,3872.0341822834107,3831.5712686194106
91,9183.674384294887,0.0,3872.0341822834107,3839.4496359269306
92,10490.002814571899,0.0,9776.140071314245,9729.607720600645
93,9756.88138761371,0.0,3872.0341822834107,3811.4588203570106
94,7169.252403557712,0.0,3872.034182283411,3771.947975249811
95,2163.9643280777127,0.0,3232.901642225601,3021.839944040001
96,-0.0,0.0,3667.163912696001,3021.839944040001
97,-0.0,0.0,16069.457628907887,15122.030406322287
98,-0.0,0.0,16157.4364688832,14840.36862912
99,-0.0,0.0,19966.841277494397,19273.437846719997
100,8644.601755049178,0.0,31062.248238441596,30757.764813119997
101,3169.940898087789,0.0,23548.520960335576,23419.515670889177
102,-0.0,0.0,3872.0341822834107,3802.0571433586106
103,8942.682030854889,0.0,3872.034182283411,3827.762994392211
104,10490.002814571899,0.0,12528.94577146609,12475.451419430889
105,10311.69933908891,0.0,3872.034182283411,3757.309921189011
106,7305.542870992909,0.0,3872.034182283411,3699.590764933011
107,7312.895747064911,0.0,181.7260857792,-0.0
108,6598.461648512914,0.0,3268.009170257602,3021.8399440400017
109,2932.019981032915,0.0,5162.566094004802,3021.839944040002
110,-0.0,0.0,6737.7635212304,3021.839944040001
111,-0.0,0.0,23055.94086680388,21571.844499607083
112,10490.002814571899,0.0,24489.2264265792,23682.7053504
113,6294.26755081691,0.0,24889.980231887097,24556.815741291895
114,3407.0910140987216,0.0,3872.0341822834107,3748.086757045011
115,8703.324931326675,0.0,3872.0341822834116,3801.1050748018115
116,9807.933836131686,0.0,9542.162159131953,9459.153681835953
117,10490.002814571899,0.0,3872.0341822834107,3738.2685500530106
118,7537.995245643899,0.0,3872.034182283413,3632.886461672213
119,4570.099391695998,0.0,528.695570448,-0.0
120,2275.8265317039986,0.0,2173.690882765699,570.8239631080987
121,-0.0,0.0,4424.474945345601,3021.839944040001
122,-0.0,0.0,4522.121476702401,3021.839944040001
123,-0.0,0.0,14107.9898918016,12555.4040928
124,10023.256529580376,0.0,27700.1966429568,27068.49915552
125,3407.4224987245884,0.0,28395.382974434775,28118.509537260376
126,-0.0,0.0,3872.0341822834102,3749.8123813042102
127,9806.593875803475,0.0,3872.034182283411,3798.546390555411
128,10259.392844909287,0.0,14175.457970104275,14092.687509947475
129,10490.002814571899,0.0,3872.0341822834107,3761.2372039858105
130,7299.978106443899,0.0,3872.0341822834116,3723.5114874226115
131,5245.001407285949,0.0,250.5725432928,-0.0
