,S_U,S_L,R_L,R_U
0,5993.1826291179505,0.0,-0.0,3021.839944040001
1,6205.230244901952,0.0,3813.6634618736007,3021.839944040001
2,2354.325294541953,0.0,4447.562607848001,3021.839944040001
3,-4.547473508864641e-13,0.0,3986.7614263568007,3021.839944040001
4,9552.130240756167,0.0,11275.071634613245,10141.574513458045
5,3686.7642497979787,0.0,32933.14886722017,32407.726032436167
6,24.246882135788837,0.0,3872.0341822834107,3762.4272896818106
7,-0.0,0.0,3872.03418228341,3811.2208032178096
8,9538.67694741169,0.0,3872.0341822834107,3810.8042732242106
9,10490.002814571899,0.0,11644.65259505329,11565.98793054769
10,10017.156112307903,0.0,3872.0341822834093,3738.5065671922093
11,6695.209763799998,0.0,3141.1460350640036,3021.8399440400035
12,-0.0,0.0,8462.698743277695,7418.577057892095
13,-0.0,0.0,3702.687970721601,3021.839944040001
14,-0.0,0.0,16839.415076975998,15006.980626559998
15,-0.0,0.0,24478.575159599997,22314.106799999998
16,-0.0,0.0,25895.372180688,24866.84061792
17,6930.521327100378,0.0,32514.7478304096,32173.96679136
18,914.3714784589888,0.0,25578.807157711577,25460.155613820378
19,-0.0,0.0,3872.0341822834107,3796.1067148786105
20,7955.319239370086,0.0,3872.034182283411,3804.913349029011
21,9394.699250459898,0.0,10473.540572106085,10372.978330794085
22,10247.608013539899,0.0,3872.034182283413,3741.600790001813
23,10490.002814571899,0.0,3202.9114826864006,3021.839944040001
24,9319.348723479998,0.0,3506.859369444799,3021.839944039999
25,-0.0,0.0,3563.9233375896983,3265.9853835960985
26,-0.0,0.0,3280.8025914896007,3021.839944040001
27,-0.0,0.0,26964.366657119997,26580.564020159996
28,10490.002814571899,0.0,21279.8033216064,20802.69796608
29,3842.6963420365887,0.0,31413.7920002199,31048.7332129719
30,-0.0,0.0,4248.166091483889,4140.820361704689
31,416.08482538421094,0.0,3872.0341822834107,3821.4555402034107
32,5049.010320190184,0.0,3872.0341822834107,3807.234016136211
33,5558.635881279996,0.0,6911.047038373973,6827.443518229973
34,4452.663588743996,0.0,3872.034182283412,3760.3446397138123
35,3465.1048229599974,0.0,3299.0704069231997,3021.83994404
36,2657.8440401199987,0.0,4152.361850955201,3021.839944040001
37,-0.0,0.0,3639.4944202640013,3021.8399440400012
38,-0.0,0.0,4850.168598804801,3021.839944040001
39,10490.002814571899,0.0,17288.136888652796,15340.204621439998
40,4534.731174260589,0.0,31937.072680751095,30679.806647211895
41,-0.0,0.0,6559.550530255089,5921.783605768689
42,-0.0,0.0,3872.0341822834107,3688.760985099411
43,7377.561272184277,0.0,6240.868894108799,6158.693476799999
44,8891.559656413288,0.0,10923.302594846677,10851.421418808277
45,10193.8417953239,0.0,3872.034182283411,3774.5661637810113
46,10338.649569283902,0.0,3872.034182283412,3747.908244190612
47,10490.002814571899,0.0,3153.5229263024007,3021.839944040001
48,9412.5925787399,0.0,3346.7333390480007,3021.839944040001
49,-0.0,0.0,3759.6335712752007,3021.839944040001
50,-0.0,0.0,11904.103399442502,10170.2675489401
51,-0.0,0.0,23342.7573713376,21284.68267296
52,10490.002814571899,0.0,25868.714261097597,25069.155186239997
53,2792.9812538797887,0.0,30642.973494920698,30251.375796651897
54,-0.0,0.0,4337.303510114289,4180.033685387889
55,-0.0,0.0,3872.034182283411,3800.093501960211
