,S_U,S_L,R_L,R_U
0,5124.670728182954,-0.0,3076.4764583144333,3021.839944040001
1,3965.6321944333877,-0.0,2720.6515007030093,2153.3280431050043
2,-0.0,-0.0,3076.4764583144333,1650.7537945064335
3,-0.0,-0.0,3872.0341822834116,2907.112699966612
4,9976.883479091566,0.0,13629.396929155198,12495.899807999998
5,4111.517488133379,-0.0,33357.90210555557,32832.47927077157
6,-0.0,449.00012047119,3872.0341822834107,3762.4272896818106
7,9172.944400401278,-0.0,3872.0341822834107,3362.2206827466207
8,10490.002814571899,449.00012047119,12620.225344349288,13007.995555761278
9,10490.002814571899,449.00012047119,3872.0341822834107,3344.3693973066206
10,10490.002814571899,-0.0,2920.7083151232005,2787.1807000320005
11,2771.3193522119,-0.0,3164.9926168568095,3494.6866463039996
12,-0.0,-0.0,4065.9616294256,3021.839944040001
13,-0.0,-0.0,7626.578382309698,6945.730355628099
14,-0.0,-0.0,16839.415076975998,15006.980626559998
15,-0.0,-0.0,24478.575159599997,22314.106799999998
16,-0.0,-0.0,25895.372180688,24866.84061792
17,7379.5214475715675,0.0,32514.7478304096,32173.96679136
18,1363.371598930179,-0.0,26027.80727818277,25909.15573429157
19,-0.0,449.00012047119,3872.0341822834107,3796.1067148786105
20,10490.002814571899,449.00012047119,3872.0341822834107,3355.9132285578207
21,10490.002814571899,449.00012047119,13008.224147307898,12907.661905995898
22,10490.002814571899,449.00012047119,2432.6541711936,2302.2207789120002
23,10490.002814571899,261.0120103728236,2350.0027196064,2168.9311809600003
24,9319.348723479998,204.32613317516757,3076.4764583144333,2779.445143008
25,-0.0,2.2737367544323206e-13,3507.2374603920425,3265.9853835960985
26,-0.0,-0.0,3076.4764583144333,3021.839944040001
27,-0.0,-0.0,26964.366657119997,26580.564020159996
28,10417.134603301187,449.00012047119,21279.8033216064,20802.69796608
29,3393.6962215653984,449.00012047119,31789.923909420377,30975.865001701186
30,-0.0,-0.0,3872.0341822834107,3764.6884525042105
31,9345.090296327679,-0.0,3872.0341822834107,4270.455660674601
32,10490.002814571899,449.00012047119,12801.039653226879,12736.239487079678
33,10490.002814571899,449.00012047119,3872.0341822834107,3339.430541668221
34,9610.436693898322,-0.0,3362.4086211936,3250.719078624
35,8622.877928114323,-0.0,3076.4764583144333,3248.2461159024233
36,7815.617145274325,-0.0,4152.361850955201,3021.839944040001
37,5157.773105154326,-4.547473508864641e-13,3639.494420264001,3021.8399440400012
38,-0.0,-0.0,4850.1685988048,3021.839944040001
39,10490.002814571899,449.0001204711898,12130.363783498473,10182.431516285673
40,4534.731174260589,-0.0,32386.072801222283,30679.806647211895
41,-0.0,-0.0,6110.550409783899,5921.783605768689
42,9098.711691193068,-0.0,3872.0341822834107,3688.760985099411
43,9425.00455081408,-0.0,15339.580585301866,15257.405167993067
44,10490.002814571899,449.00012047119,3872.0341822834107,3800.1530062450106
45,10490.002814571899,449.00012047119,3872.0341822834107,3325.566043309821
46,10490.002814571899,449.00012047119,2569.7520433728,2445.62610528
47,10490.002814571899,449.00012047119,3008.7151523423995,2877.0321700799996
48,9412.5925787399,-2.8421709430404007e-13,3195.38009376,2870.486698752
49,-0.0,-0.0,3310.6334508040104,3021.839944040001
50,-0.0,-0.0,11904.103399442502,10170.2675489401
51,-0.0,-0.0,23342.7573713376,21284.68267296
52,10490.002814571899,449.00012047119,25868.714261097597,25069.155186239997
53,2327.7119260489108,449.00012047119,31091.97361539189,30251.375796651897
54,-0.0,-0.0,3872.0341822834107,3714.764357557011
55,9339.794414980477,-0.0,3888.3033896430993,4265.362829791089
56,10490.002814571899,449.00012047119,13761.260297044479,13691.342762404478
57,10490.002814571899,352.8125580122005,3872.0341822834107,3318.5445377034207
58,10490.002814571899,-0.0,3872.0341822834107,3745.199685312
59,10490.002814571899,-0.0,4724.688063971799,4654.425157056
60,1587.1840846919006,-0.0,6027.2485116768,5563.055585952
61,10027.449712599999,-0.0,3831.336234459201,3021.839944040001
62,-0.0,-0.0,19552.5123014537,18621.448757188096
63,-0.0,-0.0,3940.1695713584013,3021.8399440400012
64,-0.0,-0.0,13502.295776822397,13144.496512319998
65,-0.0,-0.0,8085.561227193599,7908.119449919999
66,8390.551197788267,-0.0,6763.673540361599,6676.380754559999
67,8910.709017287678,-0.0,12988.863814277867,12927.752913788267
68,10490.002814571899,449.00012047119,3872.0341822834107,3797.6538262834106
