,S_U,S_L,R_L,R_U
0,5993.1826291179505,-0.0,3076.4764583144333,3021.839944040001
1,10490.002814571899,-0.0,3589.163401638006,3021.839944040001
2,9474.059863959996,283.30288291179033,8732.335177517947,7306.612513709948
3,-1.8189894035458565e-12,-3.410605131648481e-13,7105.026309016687,5856.801943788098
4,9552.130240756165,0.0,3872.0341822834107,3021.8399440400012
5,3686.7642497979773,-0.0,32933.148867220174,32407.72603243617
6,-0.0,24.246882135788837,3872.034182283411,3762.427289681811
7,-0.0,-0.0,3872.034182283411,3786.973921082022
8,1766.058534641811,-0.0,3872.0341822834107,3835.0511553599995
9,2717.384401802022,-0.0,3872.0341822834107,3793.369517777811
10,10490.002814571899,-0.0,3872.0341822834107,3738.5065671922107
11,2771.3193522119,-0.0,11386.611150097879,11267.305059073879
12,9.094947017729282e-13,-9.094947017729282e-13,4065.961629425601,3021.839944040001
13,-0.0,-0.0,7626.578382309699,6945.7303556280995
14,-0.0,-0.0,16839.415076975998,15006.980626559998
15,-0.0,-0.0,24478.575159599997,22314.106799999998
16,-0.0,-0.0,25895.372180688,24866.84061792
17,7379.5214475715675,0.0,32514.7478304096,32173.96679136
18,1363.371598930179,-0.0,26027.80727818277,25909.15573429157
19,-0.0,449.00012047119,3872.0341822834107,3796.1067148786105
20,1802.812970018601,-0.0,3872.0341822834107,3355.9132285578207
21,3242.192981108412,-0.0,3872.0341822834107,4220.4720614426005
22,10247.6080135399,-0.0,3872.0341822834107,3741.6007900018108
23,10490.002814571899,-0.0,9355.417752037889,9174.346213391489
24,9319.348723479998,204.32613317516757,3506.8593694448004,3021.839944040001
25,-0.0,2.2737367544323206e-13,3768.2494707648657,3265.9853835960985
26,-0.0,-0.0,3076.4764583144333,3021.839944040001
27,-0.0,-0.0,26964.366657119997,26580.564020159996
28,10417.134603301189,449.00012047119,21279.8033216064,20802.69796608
29,3393.6962215653994,449.00012047119,31789.92390942038,30975.86500170119
30,-0.0,-0.0,3872.0341822834107,3764.6884525042105
31,3455.097681474773,-0.0,3872.0341822834107,4270.4556606746
32,5049.010320190184,-0.0,6911.047038373973,6846.246872226773
33,5558.635881279995,-0.0,3872.0341822834107,3788.4306621394107
34,4452.663588743996,-0.0,3872.0341822834107,3760.344639713811
35,3465.1048229599974,-0.0,3299.0704069232006,3021.839944040001
36,2657.8440401199987,-0.0,4152.361850955201,3021.839944040001
37,-0.0,-4.547473508864641e-13,3639.494420264001,3021.8399440400012
38,-0.0,-0.0,4850.1685988048,3021.839944040001
39,10490.002814571899,449.0001204711898,17288.136888652796,15340.204621439998
40,4534.731174260589,-0.0,32386.072801222283,30679.806647211895
41,-0.0,-0.0,6110.550409783899,5921.783605768689
42,-0.0,-0.0,3872.0341822834107,3688.760985099411
43,326.29285962101085,-0.0,6240.868894108799,6158.693476799999
44,1840.2912438500216,-0.0,3872.0341822834107,3800.1530062450106
45,3142.5733827606327,-0.0,3872.0341822834107,3774.566163781011
46,3287.3811567206344,-0.0,3872.0341822834107,3747.9082441906107
47,3438.7344020086352,449.00012047119,3153.522926302401,3021.8399440400012
48,2361.324166176637,-2.8421709430404007e-13,3795.733459519191,3021.839944040001
49,-0.0,-0.0,3310.633450804011,3021.8399440400012
50,-0.0,-0.0,18955.371812005764,17221.535961503363
51,-0.0,-0.0,23342.7573713376,21284.68267296
52,10490.002814571899,449.00012047119,25868.714261097597,25069.155186239997
53,2327.7119260489108,449.00012047119,31091.97361539189,30251.375796651897
54,-0.0,-0.0,3872.0341822834107,3714.764357557011
55,-0.0,-0.0,3888.303389643099,4265.362829791089
56,1599.2085200626107,-0.0,4421.465882064,4351.548347424
57,10490.002814571899,-0.0,3872.0341822834107,3767.5446581746105
58,10490.002814571899,-0.0,12859.016039251686,12635.993979821287
59,10490.002814571899,-0.0,5077.500621984,4654.425157056
60,1587.1840846919006,-0.0,6027.2485116768,5563.055585952
61,10490.002814571899,-0.0,3831.336234459201,3021.839944040001
62,462.5531019719004,-0.0,20015.0654034256,19084.00185916
63,-0.0,-0.0,3940.1695713584013,3021.8399440400012
64,-0.0,-0.0,13039.742674850499,12681.943410348098
65,-0.0,-0.0,8085.561227193599,7908.119449919999
66,-0.0,-0.0,6763.673540361599,6676.380754559999
67,520.1578194994108,-0.0,4598.312616489599,4537.201716
68,2548.4517372548216,-0.0,3872.0341822834107,3797.6538262834106
69,3502.693314370232,-0.0,3872.0341822834107,3765.8190339154107
70,10490.002814571899,-0.0,3872.0341822834107,3735.4718486674105
71,10490.002814571899,-0.0,10536.323558528067,10365.962791145666
72,6841.412432531901,-0.0,4008.1491198431995,3683.9102719679995
73,-0.0,-0.0,3842.404031432001,3021.8399440400012
74,-0.0,-0.0,6713.842157762498,5184.403525548098
75,8570.578424757978,0.0,23723.8823154816,22986.50521824
76,3909.103123873388,-0.0,26496.898767890776,26082.689441397975
77,-0.0,-0.0,3872.0341822834102,3704.8271419954103
78,-0.0,-0.0,3872.034182283411,3796.701757726611
79,390.7360000594108,-0.0,6272.7036864768,6218.1977615999995
80,1139.985316038822,-0.0,3872.0341822834107,3815.8026331474107
81,1054.1514991350332,-0.0,3872.0341822834107,3795.868697739411
82,10490.002814571899,-0.0,3872.0341822834107,3756.357852632211
83,9100.1950835399,-0.0,12725.010162041664,12464.024368908864
84,482.99692069990124,-4.547473508864641e-13,3561.781824315201,3021.8399440400012
85,-0.0,-0.0,3849.6635541776004,3021.839944040001
86,-0.0,-0.0,29615.936451114496,28989.475340740097
87,-0.0,-0.0,22817.989083686396,22349.809370879997
88,7068.190440413657,0.0,22105.246760351998,21891.626377919998
89,2658.418264233069,-0.0,24136.578005300053,24032.862036893654
90,-0.0,-0.0,3872.0341822834107,3831.5712686194106
91,-0.0,-0.0,3872.0341822834107,3839.4496359269306
92,1306.3284302770107,-0.0,4014.2780611775997,3967.745710464
93,7592.9170595359965,156.42518391116766,3872.0341822834107,3811.4588203570106
94,5005.288075479998,-0.0,11048.169422411753,10791.658031466985
