,S_U,S_L,R_L,R_U
0,3638.8573345759974,0.0,-0.0,3021.839944040001
1,3850.9049503599986,0.0,1459.3381673316476,667.5146494980478
2,-0.0,0.0,4447.562607848001,3021.839944040001
3,-0.0,0.0,3986.761426356801,3021.8399440400012
4,10490.002814571899,0.0,13629.396929155198,12495.899807999998
5,4624.636823613711,0.0,33871.021441035904,33345.5986062519
6,172.73859677371183,0.0,3872.0341822834107,3762.4272896818106
7,9495.473853667896,0.0,3082.6533231056,3021.83994404
8,10490.002814571899,0.0,13219.016321313384,13157.786412254183
9,10490.002814571899,0.0,3100.5046085456006,3021.839944040001
10,10017.156112307901,0.0,2920.7083151232,2787.180700032
11,6695.209763799998,0.0,3141.146035064002,3021.8399440400017
12,-0.0,0.0,8462.698743277697,7418.5770578920965
13,-0.0,0.0,3702.687970721601,3021.839944040001
14,-0.0,0.0,16839.415076975998,15006.980626559998
15,-0.0,0.0,24478.575159599997,22314.106799999998
16,-0.0,0.0,25895.372180688,24866.84061792
17,10490.0028145719,0.0,32514.7478304096,32173.96679136
18,10490.002814571899,0.0,29138.2886451831,29019.6371012919
19,8792.557931123902,0.0,9888.184030924796,9812.256563519997
20,10490.002814571899,0.0,3088.9607772944028,3021.8399440400026
21,10490.002814571899,0.0,4215.666216183998,4115.103974871998
22,10247.608013539897,0.0,2432.6541711935993,2302.2207789119993
23,10490.002814571899,0.0,2107.6079185744006,1926.5363799280005
24,9319.348723479998,0.0,3506.859369444801,3021.839944040001
25,-0.0,0.0,3563.9233375896983,3265.9853835960985
26,-0.0,0.0,3280.8025914896007,3021.839944040001
27,-0.0,0.0,26964.366657119997,26580.564020159996
28,10490.002814571899,0.0,21279.8033216064,20802.69796608
29,4642.311938199999,0.0,31413.7920002199,31048.7332129719
30,-0.0,0.0,5047.7816876473,4940.4359578681
31,9662.680893955898,0.0,3072.418586120001,3021.839944040001
32,10490.002814571899,0.0,13118.630250855098,13053.830084707897
33,10261.1236799879,0.0,3105.4434641840007,3021.839944040001
34,9155.151387451902,0.0,3133.5294866096015,3021.8399440400017
35,8167.592621667904,0.0,3299.0704069232024,3021.8399440400026
36,7360.331838827904,0.0,4152.361850955201,3021.839944040001
37,4702.487798707905,0.0,3639.494420264001,3021.839944040001
38,-0.0,0.0,4850.168598804801,3021.839944040001
39,10490.002814571899,0.0,12585.649089944893,10637.716822732093
40,5201.6522153199985,0.0,31937.072680751095,30679.806647211895
41,-0.0,0.0,7226.471571314499,6588.704646828099
42,-0.0,0.0,3205.1131412240006,3021.839944040001
43,9728.730650083899,0.0,6240.868894108799,6158.693476799999
44,10490.002814571899,0.0,13274.471972746298,13202.590796707898
45,10193.841795323897,0.0,3119.3079625424007,3021.839944040001
46,10338.649569283898,0.0,2273.591024124798,2149.465086031998
47,10490.002814571899,0.0,3153.5229263024007,3021.839944040001
48,9412.5925787399,0.0,3346.7333390480007,3021.839944040001
49,-0.0,0.0,3759.6335712752007,3021.839944040001
50,-0.0,0.0,11904.103399442502,10170.2675489401
51,-0.0,0.0,23342.7573713376,21284.68267296
52,10490.002814571899,0.0,25868.714261097597,25069.155186239997
53,3571.234811799999,0.0,30642.973494920698,30251.375796651897
54,-0.0,0.0,5115.557068034499,4958.287243308099
55,9636.499008643897,0.0,3093.780624363201,3021.839944040001
56,10490.002814571899,0.0,14057.964890707899,13988.047356067898
57,9766.6430732999,0.0,3126.329468148801,3021.839944040001
58,8134.0578602839005,0.0,3244.862003470401,3021.839944040001
59,5592.842218371901,0.0,3444.9154089680005,3021.839944040001
60,-0.0,0.0,3486.0328697647997,3021.83994404
61,10027.449712599999,0.0,7141.312745967298,6331.816455548098
62,-0.0,0.0,21139.696386145595,20208.632841879997
63,7831.4448371945655,0.0,3940.1695713584013,3021.8399440400012
64,3617.9177922843774,0.0,21333.740614016966,20975.941349514564
65,726.2784342061886,0.0,3872.0341822834107,3694.5924050098106
66,-0.0,0.0,3872.0341822834107,3784.7413964818106
67,9205.687986691899,0.0,3872.0341822834107,3810.923281793811
68,10490.002814571899,0.0,12557.564349475899,12483.1839934759
69,10490.002814571899,0.0,3128.0550924080007,3021.839944040001
70,10133.189467667902,0.0,2917.7926051680015,2781.2302715520013
71,9471.119139739903,0.0,3192.2007114224025,3021.8399440400026
72,9003.976014039998,0.0,3346.078791915201,3021.839944040001
73,-0.0,0.0,7023.851287772094,6203.287200380094
74,-0.0,0.0,4551.278576254401,3021.839944040001
75,9345.440238444588,0.0,23723.8823154816,22986.50521824
76,4683.964937559998,0.0,27271.76058157739,26857.55125508459
77,-0.0,0.0,3872.0341822834107,3704.827141995411
78,-0.0,0.0,3097.172368596801,3021.839944040001
79,390.7360000594108,0.0,6272.7036864768,6218.1977615999995
80,10490.002814571899,0.0,3872.0341822834107,3815.8026331474107
81,9669.6510890759,0.0,13222.051680816488,13145.886196272488
82,9663.317979643902,0.0,3137.5162736912007,3021.839944040001
83,8617.198162839999,0.0,3282.825737172801,3021.839944040001
84,-0.0,0.0,3905.4697385432964,3365.5278582680967
85,-0.0,0.0,3849.663554177601,3021.839944040001
86,-0.0,0.0,30098.933371814397,29472.472261439998
87,-0.0,0.0,22817.989083686396,22349.809370879997
88,10490.002814571899,0.0,22105.246760351998,21891.626377919998
89,6080.230638391311,0.0,27558.3903794583,27454.6744110519
90,2604.2026822713106,0.0,3872.0341822834107,3831.5712686194106
91,9973.293260611897,0.0,3054.424490396479,3021.839944039999
92,10490.002814571899,0.0,11383.368639518187,11336.836288804587
